Time stamp,System power generated | (kW),Wind speed | (m/s),Wind direction | (deg),Pressure | (atm),Air temperature | ('C)
"Mar 9, 10:00 am",0,2.175,189,0.995836,24.663
"Mar 9, 11:00 am",119.153,4.36,116,0.995047,24.563
"Mar 9, 12:00 pm",1036.53,8.383,124,0.991297,22.763
"Mar 9, 01:00 pm",1564.1,9.599,128,0.990113,21.863
"Mar 9, 02:00 pm",1444.8,9.362,125,0.990804,21.963
"Mar 9, 03:00 pm",1788.1,10.044,126,0.990014,21.763
"Mar 9, 04:00 pm",1245.6,8.927,128,0.988731,21.763
"Mar 9, 05:00 pm",849.82,7.85,130,0.988139,21.863
"Mar 9, 06:00 pm",1197.09,8.799,124,0.989323,21.813
"Mar 9, 07:00 pm",1635.44,9.738,129,0.990607,21.763
"Mar 9, 08:00 pm",1436.66,9.333,134,0.993864,21.763
"Mar 9, 09:00 pm",2105.39,10.736,142,0.993272,21.763
"Mar 9, 10:00 pm",1611.07,9.679,149,0.993371,21.763
"Mar 9, 11:00 pm",1590.91,9.639,159,0.994358,21.763
"Mar 10, 12:00 am",1264.28,8.967,165,0.991989,21.863
"Mar 10, 01:00 am",1166.82,8.71,166,0.992877,21.863
"Mar 10, 02:00 am",996.528,8.275,169,0.989521,21.863
"Mar 10, 03:00 am",799.969,7.682,176,0.991594,21.963
"Mar 10, 04:00 am",443.24,6.357,182,0.989916,21.963
"Mar 10, 05:00 am",287.116,5.546,176,0.990113,21.863
"Mar 10, 06:00 am",377.143,6.07,170,0.990508,21.863
"Mar 10, 07:00 am",500.982,6.604,153,0.991002,21.863
"Mar 10, 08:00 am",649.046,7.197,155,0.992483,22.063
"Mar 10, 09:00 am",1260.25,8.957,137,0.992877,22.263
"Mar 10, 10:00 am",2116.42,10.776,137,0.991692,22.363
"Mar 10, 11:00 am",2133.89,10.825,138,0.988731,22.263
"Mar 10, 12:00 pm",2363.95,11.399,138,0.988929,22.163
"Mar 10, 01:00 pm",2742.59,12.664,137,0.988929,22.063
"Mar 10, 02:00 pm",2661.3,12.308,139,0.986757,22.163
"Mar 10, 03:00 pm",2530.32,11.883,139,0.986559,22.463
"Mar 10, 04:00 pm",2705.95,12.526,142,0.985176,22.863
"Mar 10, 05:00 pm",2904.21,13.623,144,0.985473,22.863
"Mar 10, 06:00 pm",2908.53,13.653,145,0.985967,22.713
"Mar 10, 07:00 pm",2913.77,13.692,150,0.98646,22.563
"Mar 10, 08:00 pm",2676.73,12.377,156,0.988237,22.563
"Mar 10, 09:00 pm",2031.02,10.598,167,0.989817,22.863
"Mar 10, 10:00 pm",2100.94,10.756,181,0.990211,22.963
"Mar 10, 11:00 pm",1062.44,8.453,192,0.991495,23.063
"Mar 11, 12:00 am",339.456,5.862,211,0.988434,22.963
"Mar 11, 01:00 am",0,2.432,288,0.992284,22.963
"Mar 11, 02:00 am",25.0319,3.342,254,0.990509,21.663
"Mar 11, 03:00 am",0,2.472,309,0.992681,20.063
"Mar 11, 04:00 am",50.7852,3.648,329,0.993472,19.563
"Mar 11, 05:00 am",3004.01,15.165,16,0.994756,19.263
"Mar 11, 06:00 am",3004.01,15.501,21,0.99525,17.763
"Mar 11, 07:00 am",3004.01,15.828,18,0.995646,16.263
"Mar 11, 08:00 am",2994.49,14.711,12,0.998706,15.763
"Mar 11, 09:00 am",2977.19,14.137,7,0.999694,15.263
"Mar 11, 10:00 am",2083.8,10.578,7,1.00137,14.963
"Mar 11, 11:00 am",2048.39,10.499,7,1.00216,15.063
"Mar 11, 12:00 pm",1530.38,9.431,359,1.00009,15.463
"Mar 11, 01:00 pm",1650.07,9.669,354,1.00236,16.363
"Mar 11, 02:00 pm",1616.53,9.619,346,1.00048,17.263
"Mar 11, 03:00 pm",1431.91,9.263,353,1.00009,17.863
"Mar 11, 04:00 pm",1604.58,9.609,1,0.999001,18.063
"Mar 11, 05:00 pm",1904.27,10.222,3,0.9991,17.863
"Mar 11, 06:00 pm",1558.75,9.501,8,1.00078,16.963
"Mar 11, 07:00 pm",1226.57,8.779,17,1.00256,16.063
"Mar 11, 08:00 pm",1175.14,8.64,25,1.00295,15.563
"Mar 11, 09:00 pm",1671.39,9.708,25,0.999793,15.363
"Mar 11, 10:00 pm",886.969,7.869,31,1.00305,15.163
"Mar 11, 11:00 pm",473.591,6.406,33,1.00433,15.063
"Mar 12, 12:00 am",343.68,5.803,36,1.00414,14.963
"Mar 12, 01:00 am",551.941,6.742,40,1.00295,14.963
"Mar 12, 02:00 am",564.109,6.802,48,0.999694,15.063
"Mar 12, 03:00 am",486.26,6.466,53,1.00187,15.163
"Mar 12, 04:00 am",558.041,6.772,55,1.00236,15.263
"Mar 12, 05:00 am",609.18,6.99,59,1.00216,15.463
"Mar 12, 06:00 am",388.674,6.05,44,1.00236,15.213
"Mar 12, 07:00 am",225.268,5.121,36,1.00246,14.963
"Mar 12, 08:00 am",190.675,4.894,33,0.999793,14.963
"Mar 12, 09:00 am",154.326,4.597,39,1.00098,15.563
"Mar 12, 10:00 am",275.502,5.418,47,1.00226,15.963
"Mar 12, 11:00 am",335.554,5.764,63,1.00433,16.263
"Mar 12, 12:00 pm",501.734,6.545,80,0.999693,16.263
"Mar 12, 01:00 pm",719.173,7.355,83,0.999792,16.263
"Mar 12, 02:00 pm",531.007,6.673,91,0.998706,16.363
"Mar 12, 03:00 pm",478.834,6.456,100,0.997323,16.763
"Mar 12, 04:00 pm",347.261,5.853,106,0.996534,17.163
"Mar 12, 05:00 pm",246.158,5.269,110,0.995941,17.563
"Mar 12, 06:00 pm",371.625,6.001,118,0.996928,18.213
"Mar 12, 07:00 pm",539.941,6.732,109,0.998013,18.863
"Mar 12, 08:00 pm",540.618,6.742,116,0.995545,19.063
"Mar 12, 09:00 pm",485.387,6.505,115,0.996335,19.363
"Mar 12, 10:00 pm",467.952,6.426,114,0.999197,19.563
"Mar 12, 11:00 pm",500.132,6.564,131,0.999887,19.863
"Mar 13, 12:00 am",266.536,5.398,128,0.998308,19.963
"Mar 13, 01:00 am",68.6658,3.865,133,0.997025,19.863
"Mar 13, 02:00 am",0,2.847,157,0.996927,19.063
"Mar 13, 03:00 am",0,0.939,99,0.997321,18.763
"Mar 13, 04:00 am",0,2.501,48,0.998112,18.563
"Mar 13, 05:00 am",91.9672,4.103,69,0.997026,18.363
"Mar 13, 06:00 am",169.532,4.745,62,0.996137,18.413
"Mar 13, 07:00 am",265.455,5.388,71,0.995249,18.463
"Mar 13, 08:00 am",324.888,5.734,85,0.997519,19.063
"Mar 13, 09:00 am",519.278,6.653,96,0.996433,19.663
"Mar 13, 10:00 am",920.193,8.028,103,0.996335,19.063
"Mar 13, 11:00 am",933.83,8.067,109,0.996532,19.063
"Mar 13, 12:00 pm",677.108,7.256,105,0.995348,19.163
"Mar 13, 01:00 pm",979.218,8.186,105,0.99594,19.063
"Mar 13, 02:00 pm",1157.79,8.65,114,0.996236,19.363
"Mar 13, 03:00 pm",883.205,7.919,111,0.994656,19.563
"Mar 13, 04:00 pm",1020.06,8.304,111,0.993373,19.563
"Mar 13, 05:00 pm",1241.02,8.888,114,0.991694,19.963
"Mar 13, 06:00 pm",1203.01,8.789,113,0.992977,20.363
"Mar 13, 07:00 pm",1165.01,8.69,118,0.994359,20.763
"Mar 13, 08:00 pm",846.827,7.81,114,0.996334,20.863
"Mar 13, 09:00 pm",695.37,7.326,117,0.997024,20.963
"Mar 13, 10:00 pm",757.017,7.523,121,0.99584,20.663
"Mar 13, 11:00 pm",757.017,7.523,122,0.994853,20.463
"Mar 14, 12:00 am",965.508,8.166,128,0.993965,20.063
"Mar 14, 01:00 am",1005.25,8.265,133,0.994557,19.863
"Mar 14, 02:00 am",607.293,7.039,130,0.992287,19.463
"Mar 14, 03:00 am",500.476,6.574,123,0.993274,18.963
"Mar 14, 04:00 am",377.225,6.05,118,0.993077,19.663
"Mar 14, 05:00 am",501.009,6.584,123,0.993175,19.963
"Mar 14, 06:00 am",473.56,6.466,120,0.991497,19.613
"Mar 14, 07:00 am",447.714,6.357,116,0.989819,19.263
"Mar 14, 08:00 am",1031.24,8.334,123,0.991004,18.963
"Mar 14, 09:00 am",889.863,7.948,116,0.99209,19.663
"Mar 14, 10:00 am",1066.39,8.433,122,0.991398,19.863
"Mar 14, 11:00 am",1108.64,8.552,129,0.990312,20.463
"Mar 14, 12:00 pm",1171.16,8.7,101,0.990708,19.063
"Mar 14, 01:00 pm",1563.01,9.57,110,0.989325,19.163
"Mar 14, 02:00 pm",2573.56,11.972,126,0.988239,20.463
"Mar 14, 03:00 pm",2755.91,12.704,132,0.987943,20.563
"Mar 14, 04:00 pm",2624.49,12.13,141,0.986264,20.863
"Mar 14, 05:00 pm",1618.15,9.708,144,0.985968,20.663
"Mar 14, 06:00 pm",573.31,6.901,115,0.989325,19.613
"Mar 14, 07:00 pm",91.0471,4.103,132,0.992584,18.563
"Mar 14, 08:00 pm",139.145,4.508,151,0.988931,18.963
"Mar 14, 09:00 pm",0,1.849,135,0.990708,19.163
"Mar 14, 10:00 pm",8.13171,3.124,164,0.991596,19.263
"Mar 14, 11:00 pm",213.708,5.101,177,0.990312,19.463
"Mar 15, 12:00 am",130.396,4.439,200,0.988339,19.463
"Mar 15, 01:00 am",0,2.956,218,0.991202,19.263
"Mar 15, 02:00 am",0,1.948,252,0.990906,18.963
"Mar 15, 03:00 am",0,1.829,279,0.990511,18.763
"Mar 15, 04:00 am",0,2.432,325,0.990313,18.463
"Mar 15, 05:00 am",0,2.976,356,0.98903,18.363
"Mar 15, 06:00 am",0,2.432,51,0.989228,18.413
"Mar 15, 07:00 am",0,1.888,60,0.989425,18.463
"Mar 15, 08:00 am",109.885,4.261,12,0.989919,18.263
"Mar 15, 09:00 am",124.593,4.38,357,0.990314,17.863
"Mar 15, 10:00 am",71.9255,3.905,351,0.990018,17.863
"Mar 15, 11:00 am",0,2.61,341,0.991203,18.163
"Mar 15, 12:00 pm",0,2.086,331,0.98982,18.463
"Mar 15, 01:00 pm",12.0327,3.173,309,0.988832,18.863
"Mar 15, 02:00 pm",0.839595,3.035,310,0.989523,19.163
"Mar 15, 03:00 pm",0,1.631,301,0.989523,19.863
"Mar 15, 04:00 pm",0,1.354,275,0.986757,20.663
"Mar 15, 05:00 pm",0,0.722,182,0.985474,21.063
"Mar 15, 06:00 pm",0,1.918,118,0.986067,20.813
"Mar 15, 07:00 pm",5.76534,3.104,133,0.98666,20.563
"Mar 15, 08:00 pm",0,2.916,168,0.990707,20.163
"Mar 15, 09:00 pm",81.7559,4.034,189,0.991201,19.863
"Mar 15, 10:00 pm",109.167,4.261,211,0.990608,19.663
"Mar 15, 11:00 pm",233.952,5.22,207,0.989424,19.463
"Mar 16, 12:00 am",227.455,5.18,200,0.990016,19.163
"Mar 16, 01:00 am",212.766,5.091,195,0.990906,18.863
"Mar 16, 02:00 am",398.195,6.139,193,0.990116,18.663
"Mar 16, 03:00 am",555.541,6.812,199,0.990215,18.263
"Mar 16, 04:00 am",542.657,6.752,200,0.990906,17.863
"Mar 16, 05:00 am",489.767,6.525,207,0.990512,17.763
"Mar 16, 06:00 am",321.199,5.714,192,0.990216,17.213
"Mar 16, 07:00 am",188.734,4.904,195,0.989821,16.663
"Mar 16, 08:00 am",25.5957,3.332,195,0.990709,17.263
"Mar 16, 09:00 am",59.7325,3.757,206,0.990708,18.463
"Mar 16, 10:00 am",5.76391,3.094,174,0.993866,19.863
"Mar 16, 11:00 am",165.485,4.735,166,0.990706,21.163
"Mar 16, 12:00 pm",159.837,4.696,136,0.988435,21.963
"Mar 16, 01:00 pm",329.425,5.793,120,0.98962,21.763
"Mar 16, 02:00 pm",446.355,6.367,112,0.988831,21.163
"Mar 16, 03:00 pm",830.237,7.771,107,0.98893,20.263
"Mar 16, 04:00 pm",941.062,8.117,108,0.986758,19.663
"Mar 16, 05:00 pm",514.324,6.653,108,0.987055,19.763
"Mar 16, 06:00 pm",629.388,7.128,110,0.989622,20.313
"Mar 16, 07:00 pm",781.48,7.612,108,0.992089,20.863
"Mar 16, 08:00 pm",1100.02,8.532,114,0.990805,20.863
"Mar 16, 09:00 pm",1425.08,9.303,116,0.993076,20.863
"Mar 16, 10:00 pm",1786.51,10.015,128,0.994754,20.963
"Mar 16, 11:00 pm",1515.53,9.481,139,0.994161,21.063
"Mar 17, 12:00 am",181.303,4.864,133,0.991693,21.063
"Mar 17, 01:00 am",387.904,6.1,10,0.994457,20.663
"Mar 17, 02:00 am",208.058,5.062,18,0.995544,19.963
"Mar 17, 03:00 am",764.283,7.533,16,0.996137,19.263
"Mar 17, 04:00 am",1300.18,9.026,28,0.992584,18.663
"Mar 17, 05:00 am",2073.75,10.618,15,0.993374,17.763
"Mar 17, 06:00 am",2017.51,10.479,3,0.99377,16.813
"Mar 17, 07:00 am",1966.06,10.351,3,0.994165,15.863
"Mar 17, 08:00 am",1392.78,9.174,5,0.995351,15.363
"Mar 17, 09:00 am",1261.16,8.878,3,0.997226,15.463
"Mar 17, 10:00 am",824.904,7.682,354,1.00137,15.763
"Mar 17, 11:00 am",411.224,6.159,346,0.999397,16.263
"Mar 17, 12:00 pm",248.366,5.279,3,0.994461,16.663
"Mar 17, 01:00 pm",304.755,5.605,358,0.997422,17.263
"Mar 17, 02:00 pm",217.453,5.101,9,0.996928,17.663
"Mar 17, 03:00 pm",223.432,5.141,12,0.99525,18.063
"Mar 17, 04:00 pm",193.077,4.943,32,0.993374,18.263
"Mar 17, 05:00 pm",181.087,4.844,35,0.993473,18.263
"Mar 17, 06:00 pm",154.593,4.617,16,0.994066,16.913
"Mar 17, 07:00 pm",127.849,4.389,8,0.994561,15.563
"Mar 17, 08:00 pm",310.889,5.635,8,0.995942,16.063
"Mar 17, 09:00 pm",201.503,4.993,10,0.99614,15.663
"Mar 17, 10:00 pm",295.443,5.546,358,0.99456,15.663
"Mar 17, 11:00 pm",182.104,4.834,5,0.995449,15.563
"Mar 18, 12:00 am",45.498,3.569,354,0.992389,15.863
"Mar 18, 01:00 am",204.337,5.022,358,0.993376,16.063
"Mar 18, 02:00 am",306.853,5.615,356,0.994461,16.063
"Mar 18, 03:00 am",131.167,4.419,0,0.993277,15.863
"Mar 18, 04:00 am",190.66,4.913,331,0.990907,15.763
"Mar 18, 05:00 am",166.754,4.716,326,0.990218,15.463
"Mar 18, 06:00 am",158.431,4.646,345,0.989922,15.213
"Mar 18, 07:00 am",150.055,4.577,337,0.989724,14.963
"Mar 18, 08:00 am",360.525,5.922,331,0.994068,15.263
"Mar 18, 09:00 am",115.431,4.291,314,0.992685,15.863
"Mar 18, 10:00 am",0,1.473,323,0.993276,17.063
"Mar 18, 11:00 am",0,0.692,177,0.990511,18.463
"Mar 18, 12:00 pm",0,2.096,308,0.989819,19.463
"Mar 18, 01:00 pm",0,2.244,356,0.989621,20.763
"Mar 18, 02:00 pm",0,1.285,24,0.989817,21.763
"Mar 18, 03:00 pm",0,1.799,90,0.988633,22.063
"Mar 18, 04:00 pm",73.045,3.935,109,0.986857,20.463
"Mar 18, 05:00 pm",140.239,4.518,106,0.986957,18.563
"Mar 18, 06:00 pm",359.709,5.951,112,0.987254,18.213
"Mar 18, 07:00 pm",714.913,7.385,112,0.98755,17.863
"Mar 18, 08:00 pm",447.223,6.347,130,0.990116,18.263
"Mar 18, 09:00 pm",299.748,5.596,131,0.990708,18.563
"Mar 18, 10:00 pm",405.78,6.169,148,0.99209,18.963
"Mar 18, 11:00 pm",312.076,5.675,159,0.990115,19.363
"Mar 19, 12:00 am",133.91,4.469,170,0.987746,19.463
"Mar 19, 01:00 am",0,2.462,204,0.991498,19.563
"Mar 19, 02:00 am",66.6503,3.846,231,0.991794,19.463
"Mar 19, 03:00 am",47.4292,3.608,282,0.991004,19.163
"Mar 19, 04:00 am",189.568,4.923,313,0.989524,18.663
"Mar 19, 05:00 am",3004.01,15.452,358,0.989328,15.663
"Mar 19, 06:00 am",2999.58,14.898,9,0.99308,15.413
"Mar 19, 07:00 am",2983.56,14.355,5,0.99693,15.163
"Mar 19, 08:00 am",2952.83,13.841,6,0.996141,14.363
"Mar 19, 09:00 am",2421.45,11.438,358,0.995055,14.663
"Mar 19, 10:00 am",1642.66,9.659,353,0.997917,15.563
"Mar 19, 11:00 am",843.897,7.761,347,0.997225,16.663
"Mar 19, 12:00 pm",646.55,7.148,345,0.994954,17.763
"Mar 19, 01:00 pm",581.958,6.92,343,0.994262,18.763
"Mar 19, 02:00 pm",249.22,5.299,344,0.995545,19.463
"Mar 19, 03:00 pm",103.823,4.212,333,0.995248,20.063
"Mar 19, 04:00 pm",0,2.452,10,0.99278,20.163
"Mar 19, 05:00 pm",0,1.868,90,0.990905,19.663
"Mar 19, 06:00 pm",47.5628,3.608,95,0.991004,18.763
"Mar 19, 07:00 pm",259.654,5.358,111,0.991104,17.863
"Mar 19, 08:00 pm",291.211,5.536,112,0.992881,17.463
"Mar 19, 09:00 pm",358.062,5.922,124,0.994756,17.563
"Mar 19, 10:00 pm",685.443,7.276,125,0.993275,17.763
"Mar 19, 11:00 pm",805.667,7.662,127,0.99288,17.963
"Mar 20, 12:00 am",1171.85,8.69,142,0.991005,17.963
"Mar 20, 01:00 am",1180.99,8.71,141,0.992288,17.963
"Mar 20, 02:00 am",1002.03,8.245,141,0.992683,18.063
"Mar 20, 03:00 am",1411.67,9.253,153,0.991104,18.063
"Mar 20, 04:00 am",1368.39,9.174,157,0.988636,17.963
"Mar 20, 05:00 am",1053.73,8.393,156,0.987451,17.963
"Mar 20, 06:00 am",883.167,7.919,157,0.988833,17.863
"Mar 20, 07:00 am",738.88,7.454,132,0.990216,17.763
"Mar 20, 08:00 am",1230.25,8.858,129,0.987944,18.663
"Mar 20, 09:00 am",1405.39,9.253,123,0.990511,19.063
"Mar 20, 10:00 am",2547.08,11.863,131,0.991991,19.063
"Mar 20, 11:00 am",2798.15,12.862,133,0.990906,19.063
"Mar 20, 12:00 pm",2959.65,14.009,133,0.988339,19.063
"Mar 20, 01:00 pm",2957.75,13.999,131,0.98745,19.163
"Mar 20, 02:00 pm",2998.35,14.958,130,0.986661,19.363
"Mar 20, 03:00 pm",2994.71,14.839,129,0.986758,19.463
"Mar 20, 04:00 pm",2842.89,13.099,129,0.985081,19.763
"Mar 20, 05:00 pm",2661.26,12.288,129,0.984488,20.063
"Mar 20, 06:00 pm",2535.34,11.863,134,0.987055,20.063
"Mar 20, 07:00 pm",2392.6,11.448,134,0.98972,20.063
"Mar 20, 08:00 pm",2454.78,11.636,136,0.988041,20.463
"Mar 20, 09:00 pm",2365.37,11.389,138,0.987351,20.763
"Mar 20, 10:00 pm",2278.31,11.142,138,0.988831,21.063
"Mar 20, 11:00 pm",2139.79,10.825,138,0.989818,21.363
"Mar 21, 12:00 am",2193.87,10.954,137,0.988139,21.563
"Mar 21, 01:00 am",2199.04,10.974,139,0.98656,21.763
"Mar 21, 02:00 am",1979.93,10.479,147,0.987448,21.963
"Mar 21, 03:00 am",2317.87,11.27,149,0.988731,22.163
"Mar 21, 04:00 am",2757.4,12.743,147,0.986757,22.263
"Mar 21, 05:00 am",2766.27,12.783,151,0.987349,22.263
"Mar 21, 06:00 am",2120.35,10.796,155,0.988633,22.363
"Mar 21, 07:00 am",1202.45,8.818,146,0.989817,22.463
"Mar 21, 08:00 am",1937.93,10.4,155,0.985375,22.763
"Mar 21, 09:00 am",1538.5,9.56,146,0.990113,22.963
"Mar 21, 10:00 am",1574.8,9.629,142,0.9911,22.963
"Mar 21, 11:00 am",1109.36,8.571,141,0.9911,22.463
"Mar 21, 12:00 pm",833.836,7.78,157,0.990905,20.563
"Mar 21, 01:00 pm",1131.84,8.631,148,0.989323,22.063
"Mar 21, 02:00 pm",1552.48,9.59,136,0.986757,22.163
"Mar 21, 03:00 pm",1646.47,9.777,140,0.988237,22.463
"Mar 21, 04:00 pm",1755.63,10.005,144,0.986559,23.063
"Mar 21, 05:00 pm",1677.83,9.856,144,0.985769,23.363
"Mar 21, 06:00 pm",1690.44,9.866,138,0.988138,22.713
"Mar 21, 07:00 pm",1698.04,9.866,148,0.990508,22.063
"Mar 21, 08:00 pm",1170.68,8.729,158,0.990804,22.363
"Mar 21, 09:00 pm",1065.96,8.453,149,0.992383,22.363
"Mar 21, 10:00 pm",960.69,8.186,150,0.989521,22.363
"Mar 21, 11:00 pm",833.556,7.79,119,0.991792,22.063
"Mar 22, 12:00 am",2469.44,11.676,114,0.992483,21.663
"Mar 22, 01:00 am",2329.77,11.28,126,0.992779,21.663
"Mar 22, 02:00 am",2401.06,11.488,130,0.991298,21.763
"Mar 22, 03:00 am",2430.81,11.567,130,0.99268,21.763
"Mar 22, 04:00 am",2641.77,12.19,134,0.992779,21.763
"Mar 22, 05:00 am",2506.04,11.784,136,0.992088,21.863
"Mar 22, 06:00 am",2163.65,10.875,128,0.991496,21.813
"Mar 22, 07:00 am",1750.23,9.965,122,0.990904,21.763
"Mar 22, 08:00 am",2030.61,10.578,133,0.992187,22.063
"Mar 22, 09:00 am",1648.14,9.758,139,0.994555,22.463
"Mar 22, 10:00 am",1434.04,9.333,146,0.995542,22.963
"Mar 22, 11:00 am",1447.25,9.372,152,0.99485,23.763
"Mar 22, 12:00 pm",1971.67,10.469,145,0.99179,24.063
"Mar 22, 01:00 pm",1980.52,10.489,126,0.991395,23.763
"Mar 22, 02:00 pm",2359.24,11.369,111,0.991397,21.763
"Mar 22, 03:00 pm",2745.87,12.664,115,0.992088,22.063
"Mar 22, 04:00 pm",2916.64,13.702,126,0.989126,22.463
"Mar 22, 05:00 pm",2914.23,13.682,127,0.989521,22.463
"Mar 22, 06:00 pm",2823.13,13.02,136,0.991889,22.463
"Mar 22, 07:00 pm",2676.16,12.348,134,0.994259,22.463
"Mar 22, 08:00 pm",2887.59,13.445,133,0.99258,22.463
"Mar 22, 09:00 pm",2893.61,13.495,131,0.992284,22.363
"Mar 22, 10:00 pm",2878.3,13.356,137,0.994555,22.263
"Mar 22, 11:00 pm",2869.44,13.287,147,0.993568,22.263
"Mar 23, 12:00 am",2572.52,11.972,154,0.994259,22.363
"Mar 23, 01:00 am",2563.71,11.952,166,0.993667,22.663
"Mar 23, 02:00 am",2186.11,10.934,168,0.993172,22.863
"Mar 23, 03:00 am",1780.14,10.025,173,0.994753,22.963
"Mar 23, 04:00 am",1109.25,8.571,174,0.992679,22.963
"Mar 23, 05:00 am",662.506,7.247,185,0.992975,23.163
"Mar 23, 06:00 am",675.637,7.286,173,0.992778,22.613
"Mar 23, 07:00 am",686.337,7.316,166,0.99268,22.063
"Mar 23, 08:00 am",510.242,6.643,148,0.991594,22.063
"Mar 23, 09:00 am",590.015,6.98,158,0.994555,22.063
"Mar 23, 10:00 am",86.4575,4.073,176,0.995938,21.263
"Mar 23, 11:00 am",182.765,4.884,170,0.993271,22.963
"Mar 23, 12:00 pm",392.64,6.149,125,0.990309,23.563
"Mar 23, 01:00 pm",2073.49,10.667,118,0.992384,21.563
"Mar 23, 02:00 pm",1952.66,10.39,135,0.993371,21.463
"Mar 23, 03:00 pm",1334.85,9.135,140,0.99189,21.563
"Mar 23, 04:00 pm",1194.95,8.789,144,0.990311,21.663
"Mar 23, 05:00 pm",1139.75,8.65,139,0.989225,21.863
"Mar 23, 06:00 pm",1483.15,9.441,135,0.99031,22.063
"Mar 23, 07:00 pm",1875.58,10.232,145,0.991495,22.263
"Mar 23, 08:00 pm",1556.17,9.58,147,0.991792,22.063
"Mar 23, 09:00 pm",1268.18,8.977,151,0.992384,21.963
"Mar 23, 10:00 pm",995.391,8.265,151,0.992088,21.963
"Mar 23, 11:00 pm",821.261,7.741,166,0.995147,21.963
"Mar 24, 12:00 am",593.028,6.999,169,0.991989,22.063
"Mar 24, 01:00 am",479.164,6.505,164,0.993766,22.163
"Mar 24, 02:00 am",373.383,6.05,164,0.990804,22.063
"Mar 24, 03:00 am",354.155,5.932,162,0.993864,22.163
"Mar 24, 04:00 am",313.463,5.694,167,0.993075,22.163
"Mar 24, 05:00 am",432.192,6.307,176,0.991692,22.163
"Mar 24, 06:00 am",466.749,6.456,165,0.9911,22.213
"Mar 24, 07:00 am",502.66,6.614,157,0.990606,22.263
"Mar 24, 08:00 am",352.431,5.922,143,0.99416,22.263
"Mar 24, 09:00 am",597.197,7.009,136,0.996726,22.463
"Mar 24, 10:00 am",1220.79,8.858,129,0.992482,22.463
"Mar 24, 11:00 am",1465.5,9.402,131,0.992284,22.363
"Mar 24, 12:00 pm",2073.27,10.677,125,0.991791,22.163
"Mar 24, 01:00 pm",2106.59,10.736,130,0.99495,21.863
"Mar 24, 02:00 pm",2416.43,11.527,125,0.992483,21.763
"Mar 24, 03:00 pm",2739.41,12.625,126,0.992384,21.363
"Mar 24, 04:00 pm",2758.75,12.723,129,0.989818,21.363
"Mar 24, 05:00 pm",2695.24,12.437,131,0.990509,21.363
"Mar 24, 06:00 pm",2663.21,12.288,133,0.990805,21.313
"Mar 24, 07:00 pm",2630.33,12.14,136,0.991101,21.263
"Mar 24, 08:00 pm",2409.15,11.507,142,0.991792,21.363
"Mar 24, 09:00 pm",2291.01,11.161,135,0.993569,21.263
"Mar 24, 10:00 pm",1777.37,9.995,137,0.996333,21.263
"Mar 24, 11:00 pm",1286.6,9.006,139,0.995642,21.263
"Mar 25, 12:00 am",1161.97,8.69,139,0.993372,21.263
"Mar 25, 01:00 am",997.75,8.265,140,0.992581,21.363
"Mar 25, 02:00 am",899.048,7.988,139,0.993865,21.363
"Mar 25, 03:00 am",999.116,8.265,141,0.993865,21.463
"Mar 25, 04:00 am",1007.83,8.294,144,0.992285,21.563
"Mar 25, 05:00 am",823.155,7.751,144,0.992877,21.663
"Mar 25, 06:00 am",817.781,7.731,142,0.993864,21.713
"Mar 25, 07:00 am",808.41,7.701,139,0.994852,21.763
"Mar 25, 08:00 am",802.475,7.682,143,0.995443,22.063
"Mar 25, 09:00 am",473.555,6.485,132,0.992187,22.263
"Mar 25, 10:00 am",580.343,6.94,130,0.994851,22.363
"Mar 25, 11:00 am",790.753,7.642,133,0.997023,22.363
"Mar 25, 12:00 pm",1401.3,9.263,128,0.995838,22.363
"Mar 25, 01:00 pm",1755.15,9.965,123,0.993766,21.863
"Mar 25, 02:00 pm",2118.62,10.766,120,0.99347,21.663
"Mar 25, 03:00 pm",2512.45,11.794,125,0.992976,21.563
"Mar 25, 04:00 pm",2394.6,11.468,131,0.991397,21.663
"Mar 25, 05:00 pm",2270.52,11.122,138,0.989817,21.663
"Mar 25, 06:00 pm",2211.88,10.984,134,0.991693,21.763
"Mar 25, 07:00 pm",2152.74,10.845,139,0.993568,21.863
"Mar 25, 08:00 pm",1607.64,9.669,149,0.994852,21.763
"Mar 25, 09:00 pm",1009.85,8.294,158,0.994951,21.763
"Mar 25, 10:00 pm",939.759,8.117,162,0.993075,21.863
"Mar 25, 11:00 pm",601.545,7.029,155,0.99416,21.863
"Mar 26, 12:00 am",675.494,7.276,158,0.99416,21.863
"Mar 26, 01:00 am",1326.72,9.115,165,0.99416,21.763
"Mar 26, 02:00 am",1208.09,8.818,182,0.992779,21.863
"Mar 26, 03:00 am",1099.68,8.532,184,0.993864,21.863
"Mar 26, 04:00 am",785.458,7.632,183,0.992285,21.763
"Mar 26, 05:00 am",511.122,6.643,182,0.991594,21.663
"Mar 26, 06:00 am",723.646,7.434,167,0.991002,21.263
"Mar 26, 07:00 am",981.897,8.225,167,0.99041,20.863
"Mar 26, 08:00 am",328.315,5.783,170,0.99041,21.463
"Mar 26, 09:00 am",304.729,5.645,167,0.992877,22.363
"Mar 26, 10:00 am",259.299,5.388,163,0.99258,23.563
"Mar 26, 11:00 am",285.421,5.546,157,0.992283,24.263
"Mar 26, 12:00 pm",239.072,5.289,159,0.988235,25.563
